,Charity Number,Charity Name,Charity Address,Charity Postcode,Charity Constituency,Phone,Email,Website,Last Recorded Financial Year,Last Recorded Income,Last Recorded Expenditure,Charity Type,How the charity helps,What the charity does,Who the charity helps,Activities,Charity Objects,TH Postcode,Charity Size Band,Size Band,Primary Focus
180,1075458,BURDETT ESTATE PLAYGROUP,"1-2 BUTLER HOUSE, BURDETT ROAD, LONDON",E14 7AB,Poplar and Limehouse,02079876297,kim@matchboxnursery.co.uk,Not available,31/03/2025,152652.0,108427.0,Other,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services",Education/training,"Children/young People, People With Disabilities","To advance the education of children below compulsory school age in Tower Hamlets, providing safe and satisfying group play, in which parents have the right to take part.
Encouraging other charitable activities through which parents may help the children.","TO ADVANCE THE EDUCATION OF CHILDREN BELOW COMPULSORY SCHOOL AGE IN TOWER HAMLETSA) PROVIDING SAFE AND SATISFYING GROUP PLAY, IN WHICH PARENTS HAVE THE RIGHT TO TAKE PART:B) ENCOURAGING OTHER CHARITABLE ACTIVITIES THROUGH WHICH PARENTS MAY HELP THE CHILDREN.",True,Medium,Dormant,Education/training
181,1075594,ST PETER'S BENGALI ASSOCIATION,"MINERVA HOUSING CENTRE, 10 MINERVA STREET, LONDON",E2 9EH,Bethnal Green and Stepney,02036052032,stpetersba@live.co.uk,www.stpetersba.com,31/03/2025,26719.0,15762.0,Other,"Provides Human Resources, Provides Services, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment","Children/young People, Elderly/old People, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Supplementary Education and Study Support Class for ChildrenMother Tongue Language ClassesWelfare Advice and Information ServiceYoung Engagement Programme","THE CHARITY IS ESTABLISHED TO ADVANCE THE EDUCATION, INCLUDING THE PHYSICAL DEVELOPMENT, OF CHILDREN (IN PARTICULAR OF BENGALI ORIGIN) IN THE LONDON BOROUGH OF TOWER HAMLETS AND HACKNEY.",True,Small,Dormant,Accommodation/housing
182,1075681,THE INTERNATIONAL SPACE SCHOOL EDUCATIONAL TRUST,"ISSET, CARLTON HOUSE, 5 HERBERT TERRACE, PENARTH, SOUTH GLAMORGAN",CF64 2AH,Cardiff South and Penarth,02920710295,admin@isset.org,www.isset.org,28/02/2025,600.0,600.0,Trust,"Makes Grants To Organisations, Provides Human Resources, Provides Services",Education/training,"Children/young People, People With Disabilities","The advancement of education through the creation. maintenance and development of facilities for the teaching and exchange of information, data, ideas and experiences concerning space travel and the work of astronauts.   The provision of bursaries in the form of assistance with travel, fees and books.   The fostering of educational exchanges by pupils and teachers from the UK and overseas","THE ADVANCEMENT OF EDUCATION GENERALLY AND IN PARTICULAR THROUGH1.  .THE CREATION MAINTENANCE AND DEVELOPMENT OF FACILITIES FOR THE TEACHING AND EXCHANGE OF INFORMATION, IDEAS, DATA AND EXPERIENCES CONCERNING SPACE, SPACE TRAVEL, THE WORK OF ASTRONAUTS AND THE DEVELOPMENT OF LIFE IN SPACE AND2.   THE PROVISION OF BURSARIES IN THE FORM OF FINANCIAL ASSISTANCE WITH TRAVEL, FEES, BOOKS AND OTHER TEACHING RESOURCES FOR SECONDARY SCHOOL PUPILS AND TEACHERS TO STUDY AT RECOGNISED CENTRES OF EXCELLENCE AND TO ATTEND CONFERENCES CONCERNING MATTERS IN 1 ABOVE3.   THE CREATION, MAINTENANCE AND DEVELOPMENT OF AN INTERNET WEB SITE FOR A VIRTUAL LIBRARY OF TEACHING AND LEARNING RESOURCES COVERING ALL SUBJECTS AND THE ESTABLISHMENT OF PUPIL TO PUPIL AND SCHOOL TO SCHOOL COMMUNICATION4.. THE FOSTERING AND ARRANGEMENT OF EDUCATIONAL EXCHANGES BY PUPILS AND TEACHERS FROM THE UNITED KINGDOM AND OVERSEAS.2.2.5. THE ARRANGEMENT OF COMPETITIONS AND THE PROVISION OF PRIZES AND AWARDS FOR PUPILS, TEACHERS AND SCHOOLS IN MATTERS RELATED TO 1  ABOVE.",False,Micro,Dormant,Education/training
183,1075694,THE COLLECTIVE OF SCHOOL GOVERNORS,"44 REPTON STREET, LONDON",E14 7PX,Bethnal Green and Stepney,07534784975,COLLECTIVE.BSG@LIVE.CO.UK,www.cbsg.org.uk,31/03/2025,0.0,0.0,Other,"Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Economic/community Development/employment, Recreation","Children/young People, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Works for the promotion,retention and recruitment of governors in the Borough, advice, guidence and supports serving governors in the performance of their duties and responsibilties, educational activities, raise awarenes of parents/governors/prospective governors. Organise workshops, seminars,conferrence for parents, governers, guardians and careers.","TO RAISE THE LEVEL OF ACHIEVEMENTS OF ALL CHILDREN ATTENDING SCHOOLS IN LONDON BY PROMOTING AND TRAINING SCHOOL GOVERNORS
TO EMPOWER SCHOOL GOVERNORS, PARENTS AND MEMBERS OF THE COMMUNITY TO INFLUENCE EDUCATIONAL AND SOCIAL POLICIES AT LOCAL, REGIONAL, NATIONAL LEVELS
TO PROMOTE EDUCATION AND LEARNING AMONGST PARENTS, SCHOOL GOVERNORS, PUPILS AND MEMBERS OF THE COMMUNITY",True,,Dormant,Recreation
184,1075745,MULBERRY SCHOOL (TOWER HAMLETS) TRUST,"Mulberry School for Girls, Mulberry School, Richard Street, LONDON",E1 2JP,Bethnal Green and Stepney,02077906327,spatni@mulberryschoolstrust.org,Not available,25/03/2025,823.0,123712.0,Trust,"Provides Other Finance, Provides Services","Education/training, Arts/culture/heritage/science","Children/young People, Other Defined Groups",Education related,"FOR THE ADVANCEMENT OF EDUCATION AND IN PARTICULAR THE ADVANCEMENT OF EDUCATION OF PUPILS ATTENDING MULBERRY SCHOOL FOR GIRLS BY BY IMPLEMENTING AND ENHANCING THE EDUCATIONAL PROVISION OF THE SCHOOL THEREBY ASSISTING THE DELIVERY OF THE CURRICULUM AT THE SCHOOL PARTICULARLY IN SUBJECTS SUCH AS SPORTS AND THE ARTS THROUGH PROVIDING AND ASSISTING IN THE PROVISION OF ITEMS, FACILITIES AND EQUIPMENT AT THE SCHOOL AND THROUGH SUCH OTHER WAYS AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE PROVIDED THAT IN SO DOING THE TRUSTEES SHALL NOT RELIEVE THE LOCAL EDUCATION AUTHORITY OR ANY OTHER STATUTORY BODY OF ITS STATUTORY OBLIGATIONS.",True,Micro,Dormant,Arts/culture/heritage/science
185,1076013,"ST PETERS SUPPLEMENTARY SCHOOL, BETHNAL GREEN","28 OAKLEY AVENUE, BARKING",IG11 9JD,Barking,0208 507 9436,fazlurr1948@gmail.com,Not available,31/03/2024,1200.0,1100.0,Other,"Provides Human Resources, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Recreation","Children/young People, The General Public/mankind","Educational Classes for children and young people - homework club, study support programme, mother tongue support.
Recreational and leisure activities for children and families
Family literacy programme
Activities that supports community integration","(A) TO ADVANCE THE EDUCATION OF PERSONS AND RESIDENTS LIVING AT ST. PETERS ESTATES, MINERVA ESTATE, NELSON GARDEN AND HADRAIN  ESTATE OF BETHNAL GREEN IN THE LONDON BOROUGH OF TOWER HAMLETS AND IN PARTICULAR THOSE RESIDENTS AGED BETWEEN 5 TO 16 OF BANGLADESHI ORIGIN. (B) TO PROVIDE AND ASSIST IN THE PROVISION OF RECREATIONAL OR LEISURE TIME FACILITIES FOR THE RESIDENTS IN THE ARERA OF BENEFIT IN THE INTEREST OF SOCIAL WELFARE AND WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF SUCH PERSONS; (C) TO PROVIDE ADVICE FOR THE ADVANCEMENT OF EDUCATION, THE PROTECTION OF HEALTH AND THE RELIEF OF POVERTY.",False,Micro,Dormant,Recreation
186,1076672,SOMALI EDUCATION AND CULTURAL PROJECT (EAST LONDON),"waterlily business center, suite 313, 10 Cleveland Way, LONDON",E1 4UF,Bethnal Green and Stepney,07496468464,aidenhassan@gmail.com,www.secp.org.uk,31/03/2022,0.0,0.0,Other,"Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Home Schools liaison project, Mother Tongue, After Schools clases,Youth activities,welfare,employability, school holidays, summer activities and trainings.","THE ASSOCIATION IS ESTABLISHED IN PARTICULAR FOR THE BENEFIT OF SOMALIANS RESIDING IN EAST LONDON TO ADVANCE EDUCATION; RELIEVE POVERTY, SICKNESS OR DISTRESS; AND PROVIDE OR ASSIST IN THE PROVISION OF FACILITIES FOR RECREATION OR LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF SUCH PERSONS.",True,,Dormant,Amateur Sport
187,1076857,ISLAND ADVICE CENTRE,"ISLAND HOUSE, ROSERTON STREET, LONDON",E14 3PG,Poplar and Limehouse,02075380094,admin@island-advice.org.uk,www.island-advice.org.uk,31/03/2025,467465.0,482423.0,Charitable company,Provides Advocacy/advice/information,"Education/training, The Prevention Or Relief Of Poverty","Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","IAC is an independent advice service that provides support and guidance on statutory rights and entitlement to local residents. Areas of advice include; welfare rights, housing, debt. Advice is given from basic level up to specialist casework. In addition the organisation provides training and volunteering opportunities to individuals interested in developing advice skills.",TO RELIEVE POVERTY IN THE AREA  KNOWN AS THE ISLE OF DOGS AND NEARBY AREAS BY THE ADVANCEMENT OF EDUCATION OF THE GENERAL PUBLIC IN THE FIELD OF WELFARE AND INDIVIDUAL RIGHTS.,True,Medium,Dormant,The Prevention Or Relief Of Poverty
188,1076874,POPLAR PENTECOSTAL CHURCH TRUST,"20 NEWBURY ROAD, ILFORD",IG2 7HB,Ilford South,02085975068,Poplar.Pentecostal.Church@outlook.com,Not available,31/03/2025,9927.0,9677.0,Other,Provides Services,Religious Activities,The General Public/mankind,"TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT OF  BELIEFS APPEARING IN THE SCHEDULE  HERETO IN LONDON AND IN SUCH OTHER PARTS OF THE UK   OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT. TO PROMOTE AND FULFIL SUCH  OTHER  CHARITAB  PURPOSES BENEFICIAL TO THE COMMUNITY IN LONDON AND OTHER PARTS OF THE  UK,  OR THE WORLD AS THE TRUSTEES MAY  FROM TIME TO TIME THINK FIT",(A) TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT OF BELIEFS APPEARING IN THE SCHEDULE HERETO IN  LONDON AND IN SUCH OTHER PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT (B) TO RELIEVE PERSONS WHO ARE IN CONDITIONS OF NEED OR HARDSHIP OR WHO ARE AGED OR SICK AND TO RELIEVE THE DISTRESS CAUSED THEREBY IN LONDON AND IN SUCH OTHER PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT (C) TO PROMOTE AND FULFIL SUCH  OTHER CHARITABLE PURPOSES BENEFICIAL TO THE COMMUNITY  IN LONDON AND IN SUCH OTHER PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT,False,Micro,Dormant,Religious Activities
189,1077423,MAZAHIRUL ULOOM LONDON,"241-243 Mile End Road, London",E1 4AA,Bethnal Green and Stepney,02077028533,INFO@MUL.ORG.UK,www.mul.org.uk,31/08/2024,507313.0,439159.0,Other,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","Education/training, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, The General Public/mankind","The charity provides facilities for 5 times prayer daily and open for 365 days of the year. It runs educational seminars for adults and youths. The charity also runs evening madrasa for basic Quran teaching in addition to basic Islamic ethics.The charity runs a full time school on Natioanl Carriculum from year 7 to year 11.",FOR THE ADVANCEMENT OF EDUCATION AND RELIGION IN ACCORDANCE WITH THE TENETS AND DOCTRINES OF THE QUR'AN AND HIDATH.,True,Medium,Dormant,Human Rights/religious Or Racial Harmony/equality Or Diversity
190,1077859,"KING GEORGE'S FIELD, MILE END","LONDON BOROUGH OF TOWER HAMLETS, Town Hall, 160 Whitechapel Road, LONDON",E1 1BJ,Bethnal Green and Stepney,020 7364 7914,Catherine.boyd@towerhamlets.gov.uk,Not available,31/03/2023,1181194.0,1408556.0,Other,Provides Buildings/facilities/open Space,"Amateur Sport, Environment/conservation/heritage",The General Public/mankind,"The maintenance of Mile End Park, and the other open spaces within King George's Field, Mile End, for the use and enjoyment of the public.",THE LAND WITHIN THE AREAS SHOWN EDGED RED ON THE PLAN NO. KGF.1 ATTACHED HERETO WHICH HAS BEEN ACQUIRED BY THE COUNCIL OR THE LONDON COUNTY COUNCIL SHALL BE PRESERVED IN PERPETUITY AS A MEMORIAL TO HIS LATE MAJESTY KING GEORGE V UNDER THE PROVISIONS OF THE FOUNDATION,True,Large,Dormant,Environment/conservation/heritage
191,1077889,PUMP AID,"3RD FLOOR, 86-90 PAUL STREET, LONDON",EC2A 4NE,Hackney South and Shoreditch,02081062100,info@pumpaid.org,www.pumpaid.org,31/03/2025,958795.0,793562.0,Charitable company,"Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Other Charitable Activities","The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief","Other Defined Groups, The General Public/mankind","With more than 17 years of experience working in Africa, Pump Aid is committed to achieving lasting positive change in peoples lives by improving the quality, availability and use of water with communities in need.  Pump Aid is currently active in Malawi but has also previously built pumps in Zimbabwe, Liberia and Mozambique.",TO RELIEVE FINANCIAL HARDSHIP IN RURAL AFRICAN COMMUNITIES BY IMPROVING THE AVAILABILITY AND QUALITY OF WATER FOR IRRIGATION AND DOMESTIC NEEDS,False,Medium,Dormant,Overseas Aid/famine Relief
192,1079150,SPEAKER OF TOWER HAMLETS COMMITTEE FOR LOCAL CHARITIES,"LONDON BOROUGH OF TOWER HAMLETS, Town Hall, 160 Whitechapel Road, LONDON",E1 1BJ,Bethnal Green and Stepney,02073645221,danny.warren@towerhamlets.gov.uk,Not available,30/09/2023,33514.0,32513.0,Other,Makes Grants To Organisations,General Charitable Purposes,"Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies",Fund raising activities including Speaker's Charity evening and appeals by the Speaker to local businesses.,TO OR FOR THE BENEFIT OF SUCH CHARITABLE PURPOSE OR PURPOSES OR SUCH CHARITABLE INSTITUTION IN PARTICULAR FOR THE BENEFIT OF THE INHABITANTS OF THE LONDON BOROUGH OF TOWER HAMLETS AS THE TRUSTEES SHALL DECIDE,True,Small,Dormant,General Charitable Purposes
193,1079290,ACID SURVIVORS TRUST INTERNATIONAL (ASTI),"Fora Space Ltd, 42-46 Princelet Street, LONDON, LONDON",EC2A 3AY,Hackney South and Shoreditch,02036513933,office@asti.org.uk,www.acidviolence.org,31/12/2024,0.0,0.0,Trust,"Provides Other Finance, Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body, Other Charitable Activities","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies",To promote and protect the health of acid and burn violence survivors and to advance the education of the general public in all areas relating to such survivors.,TO PROMOTE AND PROTECT THE HEALTH OF ACID AND BURN VIOLENCE SURVIVORS AND TO ADVANCE THE EDUCATION OF THE GENERAL PUBLIC IN ALL AREAS RELATING TO SUCH SURVIVORS,False,,Dormant,Overseas Aid/famine Relief
194,1079316,SARACENS SPORT FOUNDATION,"STONEX STADIUM, GREENLANDS LANE, HENDON, LONDON",NW4 1RL,Hendon,07460020569,richardsymonds@saracens.net,https://www.saracenssportfoundation.org/,30/06/2024,1483868.0,1476170.0,Charitable company,"Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, Amateur Sport","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","THE SARARCENS SPORT FOUNDATION USES THE SARACENS BRAND, OUR PROFESSIONAL PLAYERS AND HIGH QUALITY STAFF TO INSPIRE AND CHALLENGE OVER 70,000 CHILDREN EVERY YEAR TO LIVE AN ACTIVE AND HEALTHY LIFESTYLE.",TO ADVANCE AND ASSIST IN ADVANCING EDUCATION; TO PROVIDE OR ASSIST IN THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION IN THE INTERESTS OF SOCIAL WELFARE AND WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THOSE FOR WHOM THE FACILITIES ARE PROVIDED; TO RELIEVE SICKNESS AND DISABILITY AND TO PRESERVE AND PROTECT HEALTH; AND TO PROMOTE ANY OTHER  PURPOSE WHICH IS CHARITABLE ACCORDING TO ENGLISH LAW.,False,Large,Dormant,Disability
195,1079423,STEPNEY SHAHJALAL MOSQUE & CULTURAL CENTRE,"81-83 DUCKETT STREET, LONDON",E1 4TD,Bethnal Green and Stepney,07442490694,ssmacc@hotmail.co.uk,www.stepneyshahjalalmosque.org.uk,31/03/2025,573318.0,207526.0,Charitable company,"Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","Education/training, Religious Activities, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","To advance religious education among children and adults and to provide facilities for prayer, recreation and leisure activities.","TO ADVANCE THE ISLAMIC RELIGION AMONGST THE RESIDENTS LIVING IN AND PERSONS VISITING THE GEOGRAPHICAL AREA OF OLD ST DUNSTANS WARD IN THE LONDON BOROUGH OF TOWER HAMLETS.
TO ADVANCE THE EDUCATION OF THE PUBLIC IN PARTICULAR CHILDREN IN ACCORDANCE WITH THE TEACHINGS OF ISLAM IN THE AREA OF BENEFIT.
THE PROVISION OF FACILITIES FOR THE RECREATION OR OTHER LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE 0F THOSE PERSONS LIVING IN THE AREA OF BENEFIT AND WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABLEMENT POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES.
TO PROMOTE GOOD RACE AND COMMUNITY RELATIONS WITH OTHER ETHNIC COMMUNITIES IN THE AREA OF BENEFIT..",True,Medium,Dormant,Other Charitable Purposes
196,1079457,EVANGELICAL CHURCH WINNING ALL (ECWA),"Raines Foundation School, Approach Road, LONDON",E2 9LY,Bethnal Green and Stepney,07429041006,ecwalondon@gmail.com,ecwalondon.org,31/12/2024,36754.0,32460.0,Other,Other Charitable Activities,"General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, The General Public/mankind",Evangelical Christian Worship Assembly as a charity aims to advance the Christian faith in London and other parts of United Kingdom. We are also committed to relieving persons who are in conditions of need or hardship in United Kingdom and other parts of the world as the trustees may think fit.,(A) TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT OF BELIEFS APPEARING IN THE SCHEDULE HERETO IN LONDON AND IN SUCH OTHER PARTS  OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT (B) TO RELIEVE PERSONS WHO ARE IN CONDITIONS OF NEED OR HARDSHIP OR WHO ARE AGED OR SICK AND TO RELIEVE THE DISTRESS CAUSED THEREBY IN LONDON AND IN SUCH OTHER PART OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT (C) TO PROMOTE AND FULFIL SUCH OTHER CHARITABLE PURPOSES BENEFICIAL TO THE COMMUNITY IN LONDON AND IN SUCH OTHER PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT,True,Small,Dormant,Overseas Aid/famine Relief
197,1080256,COMMUNITY OF REFUGEES FROM VIETNAM - EAST LONDON,"Old Poplar Library - Unit 17, 45 Gillender Street, LONDON",E14 6RN,Poplar and Limehouse,02075384986,crveastlondon@aol.com,www.crveastlondon.org,31/03/2025,193999.0,165772.0,Charitable company,"Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","CRV - East London provides following services: 
Vietnamese Elderly Support Services includes Drop in centre, advisory and information on welfare, housing, health, education, training, counselling and home visits. Luncheon club. Social cultural events and outing trips. 
Home care services.","TO PROMOTE THE RELIEF OF PEOPLE IN THE VIETNAMESE COMMUNITY IN EAST LONDON WHO ARE IN NEED, HARDSHIP OR DISTRESS; TO PROVIDE SERVICES THAT WILL IMPROVE THE QUALITY OF LIFE OF THE VIETNAMESE COMMUNITY IN EAST LONDON; TO ASSIST THE COMMUNITY TO INTEGRATE INTO THE LOCAL COMMUNITY AND TO CONTRIBUTE TO THE COMMON GOOD; TO ADVANCE LEARNING IN THE COMMUNITY AND TO INTERACT WITH COMMUNITIES IN THE UK WITH A VIEW TO PROMOTE AND PRESERVE TRADITIONAL VIETNAMESE CULTURE.",True,Medium,Dormant,Economic/community Development/employment
198,1080840,SPORTS NETWORK COUNCIL(SNC),"SPORTS NETWORK COUNCIL, Unit G3, Whitechapel Centre, 85 Myrdle Street, LONDON",E1 1HL,Bethnal Green and Stepney,07930607875,snetcouncil@hotmail.co.uk,www.sportsnetworkcouncil.org.uk,31/03/2024,0.0,0.0,Other,"Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","The Sports Network Council is a consortium of community, voluntary, youth, and sports organisations, schools and statutory bodies that acts as an umbrella organisation to promote the greater participation of socially excluded groups in sports and health activities in Tower Hamlets.","(A) TO ADVANCE THE EDUCATION OF THE GENERAL PUBLIC, PARTICULARLY YOUNG PEOPLE FROM ETHNIC MINORITIES LIVING IN TOWER HAMLETS AND OTHER PARTS OF GREATER LONDON, THROUGH THE PROVISION OF SPORTS ACTIVITIES AND THE PROMOTION OF HEALTH EDUCATION AND LIFESTYLE. (B) TO PROVIDE SPORTS FACILITIES IN THE INTEREST OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THOSE IN NED OF SUCH FACILITIES BY REASON OF THEIR AGE, PARTICULARLY THOSE FROM THE ETHNIC MINORITY GROUPS LIVING IN TOWER HAMLETS AND THE SURROUNDING AREAS. THE FACILITIES SHALL INCLUDE PERSONAL DEVELOPMENT ACTIVITIES,, TRAINING ACTIVITIES, AND SEMINARS.",True,,Dormant,Amateur Sport
199,1081515,YOUNG NEWS,"YOUNG NEWS, MONTEFIORE CENTRE, (BETHNAL GREEN TRAINING CENTRE), HANBURY STREET, LONDON",E1 5HZ,Bethnal Green and Stepney,02072474224,ynews@aol.com,www.youngnews.org.uk,31/03/2025,14850.0,9134.0,Charitable company,Provides Services,"General Charitable Purposes, Education/training, Arts/culture/heritage/science, Recreation","Children/young People, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","Mainly provide training on creative writing and publication for young children and for all ages based on community needs including women and ethnic group.Organise services which benefit families involving children and parents.Motivate on healthier life style in education, safety issues and physical health. Organise cultural show, film show, tour to famous places.",TO ADVANCE THE EDUCATION OF CHILDREN (REGARDLESS OF RACE) IN WRITING AND JOURNALISM SKILLS.,True,Small,Dormant,Recreation
200,1081760,TRINITY BUOY WHARF TRUST,"TRINITY BUOY WHARF TRUST, 64 ORCHARD PLACE, LONDON",E14 0JW,Poplar and Limehouse,01273846328,Not available,Not available,31/12/2024,371892.0,374569.0,Charitable company,Makes Grants To Organisations,Arts/culture/heritage/science,"Other Defined Groups, The General Public/mankind",The Company's objects are for the benfit of any charitable purpose which promotes the arts and the education of the public in the arts in the London Borough of Tower Hamlets and surrounding Boroughs as the Trustees may from time to time determine.,THE COMPANY'S OBJECTS ARE FOR THE BENEFIT OF ANY CHARITABLE PURPOSE WHICH PROMOTES THE ARTS AND THE EDUCATION OF THE PUBLIC IN THE ARTS IN THE LONDON BOROUGH OF TOWER HAMLETS AND SURROUNDING BOROUGHS AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE,True,Medium,Dormant,Arts/culture/heritage/science
201,1082043,SPITALFIELDS ARTS - FACILITIES AND EDUCATION,"Safe Studio, 12-14 Greatorex Street, London",E1 5NF,Bethnal Green and Stepney,02072471892,safestudios@ssba.info,www.safestudios.co.uk,30/09/2024,76385.0,79391.0,Charitable company,Provides Buildings/facilities/open Space,"Education/training, Arts/culture/heritage/science",The General Public/mankind,Provision of affordable Artists studio space,"1. T0 ADVANCE THE EDUCATION OF THE PUBLIC, IN PARTICULAR CHILDREN AND YOUNG PEOPLE, IN THE ARTS; 2. IN THE INTERESTS OF SOCIAL WELFARE TO PROVIDE OR ASSIST IN THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATIONS, WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THE PERSONS FOR WHOM SUCH FACILITIES ARE PRIMARILY INTENDED, I.E. PERSONS WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABILITY, PROPERTY OR SOCIAL OR ECONOMIC CIRCUMSTANCES, PROVIDE THAT NEVERTHELESS SUCH FACILITIES SHALL BE AVAILABLE TO MEMBERS OF THE PUBLIC AT LARGE; 3. THE RELIEF OF POVERTY AMONGST ARTISTS BY THE PROVISION OF SUBSIDISED STUDIO SPACE.",True,Small,Dormant,Arts/culture/heritage/science
202,1082193,EAST END CITIZENS' ADVICE BUREAUX,"300 Mare Street, London",E8 1HE,Hackney South and Shoreditch,02085256350,Not available,www.eastendcab.org.uk,31/03/2025,2182578.0,2068213.0,Charitable company,Provides Advocacy/advice/information,The Prevention Or Relief Of Poverty,The General Public/mankind,"Provision of information, advice and advocacy services.","TO PROMOTE ANY CHARITABLE PURPOSE FOR THE PUBLIC BENEFIT BY THE ADVANCEMENT OF EDUCATION, THE PROTECTION AND PRESERVATION OF HEALTH AND THE RELIEF OF POVERTY, SICKNESS AND DISTRESS IN PARTICULAR, BUT WITHOUT LIMITATION, FOR THE BENEFIT OF THE COMMUNITY IN GREATER LONDON AND SURROUNDING AREAS.",False,Large,Dormant,The Prevention Or Relief Of Poverty
