,LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSO,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2022,Dependent Children aged 0-15: mid 2022,Older population aged 60 and over: mid 2022,Working age population 18-66 (for use with Employment Deprivation Domain): mid 2022
4055,E01004277,Tower Hamlets 033A,E09000030,Tower Hamlets,8.39,26984,8,0.087,27787,9,0.057,28826,9,1.984,31741,10,-0.086,17675,6,-2.094,33658,10,24.944,10957,4,24.258,12524,4,0.131,28245,9,0.185,14196,5,-0.948,29099,9,0.086,32874,10,9.914,32639,10,4.081,3599,2,-0.459,25476,8,1.442,1500,1,1737,141,113,1522
4056,E01004280,Tower Hamlets 032A,E09000030,Tower Hamlets,27.709,9476,3,0.413,4907,2,0.154,10836,4,17.62,16064,5,0.221,13223,4,-0.112,18453,6,30.473,6315,2,28.501,10096,3,0.719,1999,1,0.62,955,1,0.023,16106,5,0.24,14829,5,11.838,32165,10,5.049,2093,1,-0.107,17983,6,1.326,1886,1,2017,378,200,1472
4057,E01004281,Tower Hamlets 031D,E09000030,Tower Hamlets,11.418,23276,7,0.175,17688,6,0.069,25870,8,2.279,31387,10,-0.569,24683,8,-0.709,26688,8,33.145,4753,2,13.623,20291,7,0.372,13211,4,0.38,5290,2,-1.339,31754,10,0.135,29352,9,13.909,31602,10,5.45,1603,1,-0.525,26754,8,0.523,7663,3,2007,300,109,1635
4058,E01004283,Tower Hamlets 016A,E09000030,Tower Hamlets,41.034,4333,2,0.535,1828,1,0.191,7363,3,22.539,12731,4,0.928,5228,2,0.486,9715,3,39.467,2282,1,30.963,8798,3,0.946,164,1,0.656,689,1,-0.686,26374,8,0.341,5702,2,5.285,33484,10,6.469,673,1,-0.127,18409,6,1.595,1103,1,2336,431,291,1674
4059,E01004286,Tower Hamlets 019C,E09000030,Tower Hamlets,38.909,4894,2,0.432,4299,2,0.223,5156,2,19.673,14592,5,0.458,10198,4,0.953,4494,2,37.938,2784,1,39.925,4958,2,0.508,7751,3,0.674,587,1,-0.624,25611,8,0.313,7672,3,6.577,33309,10,6.255,838,1,0.185,12251,4,1.827,619,1,2565,491,320,1786
4060,E01004287,Tower Hamlets 016B,E09000030,Tower Hamlets,42.945,3838,2,0.649,430,1,0.202,6566,2,22.79,12581,4,0.328,11837,4,0.137,14748,5,38.685,2532,1,29.31,9647,3,0.995,46,1,0.593,1200,1,-0.658,26016,8,0.341,5651,2,5.412,33467,10,6.362,752,1,0.092,13945,5,1.026,3245,1,2338,493,425,1478
4061,E01004288,Tower Hamlets 019D,E09000030,Tower Hamlets,44.119,3567,2,0.556,1492,1,0.212,5871,2,27.744,9998,3,0.591,8619,3,0.575,8564,3,46.096,797,1,30.466,9024,3,0.829,653,1,0.664,645,1,-0.648,25913,8,0.377,3534,2,6.865,33258,10,7.63,189,1,-0.199,19989,6,1.669,934,1,1796,402,218,1196
4062,E01004289,Tower Hamlets 016C,E09000030,Tower Hamlets,38.598,4969,2,0.454,3678,2,0.185,7887,3,20.23,14203,5,0.821,6235,2,0.544,8962,3,42.312,1530,1,38.614,5440,2,0.685,2637,1,0.628,884,1,-0.459,23375,7,0.308,8014,3,6.501,33320,10,6.916,433,1,0.327,10051,3,1.423,1558,1,1972,321,291,1402
4063,E01004290,Tower Hamlets 016D,E09000030,Tower Hamlets,31.305,7672,3,0.404,5186,2,0.154,10860,4,17.12,16437,5,0.672,7736,3,0.646,7669,3,30.549,6267,2,33.035,7816,3,0.735,1706,1,0.544,1805,1,-0.414,22750,7,0.276,10938,4,4.052,33588,10,5.13,1971,1,-0.494,26152,8,2.353,71,1,2061,363,217,1500
4064,E01004291,Tower Hamlets 027A,E09000030,Tower Hamlets,11.483,23180,7,0.163,18774,6,0.063,27406,9,4.007,29391,9,-0.43,22786,7,0.102,15278,5,16.763,21680,7,34.375,7158,3,0.424,10957,4,0.212,12524,4,-0.617,25521,8,0.114,31350,10,8.158,33002,10,2.221,7699,3,0.25,11187,4,1.174,2466,1,1906,197,240,1554
4065,E01004292,Tower Hamlets 026A,E09000030,Tower Hamlets,5.462,30381,10,0.089,27611,9,0.047,31084,10,1.363,32449,10,-0.449,23048,7,-0.473,23544,7,15.931,22904,7,14.526,19505,6,0.174,24956,8,0.209,12701,4,-1.12,30455,10,0.076,33178,10,7.49,33129,10,2.025,8276,3,-0.588,27891,9,0.674,6021,2,1677,208,167,1348
4066,E01004293,Tower Hamlets 027B,E09000030,Tower Hamlets,7.925,27562,9,0.119,23568,7,0.058,28664,9,1.083,32732,10,-0.897,28515,9,-0.237,20237,6,14.507,24879,8,32.102,8250,3,0.316,15933,5,0.175,14907,5,-1.338,31744,10,0.092,32627,10,6.98,33240,10,1.65,9393,3,-0.332,22811,7,2.002,361,1,2017,183,332,1621
4067,E01004295,Tower Hamlets 026C,E09000030,Tower Hamlets,39.106,4826,2,0.602,868,1,0.153,10980,4,21.833,13150,4,-0.004,16476,5,0.188,13981,5,42.923,1408,1,35.935,6506,2,0.861,443,1,0.623,932,1,-0.808,27733,9,0.34,5776,2,3.516,33637,10,7.036,380,1,-0.199,19993,6,2.193,181,1,2052,543,194,1326
4068,E01004296,Tower Hamlets 026D,E09000030,Tower Hamlets,26.423,10228,4,0.397,5435,2,0.149,11386,4,11.539,21236,7,0.258,12725,4,0.826,5638,2,20.33,16572,5,26.033,11520,4,0.793,945,1,0.591,1223,1,-0.282,20678,7,0.202,19860,6,6.616,33302,10,3.129,5475,2,-0.098,17789,6,1.072,2970,1,2458,374,252,1886
4069,E01004297,Tower Hamlets 027C,E09000030,Tower Hamlets,8.171,27253,9,0.113,24251,8,0.058,28615,9,1.732,32026,10,-0.705,26430,8,-0.672,26226,8,15.773,23122,7,35.898,6522,2,0.239,20391,7,0.145,17211,6,-1.35,31809,10,0.122,30750,10,9.228,32791,10,1.952,8487,3,0.264,10982,4,1.296,1989,1,1870,230,283,1483
4070,E01004298,Tower Hamlets 022A,E09000030,Tower Hamlets,50.194,2338,1,0.578,1178,1,0.269,2873,1,24.082,11864,4,1.042,4288,2,0.74,6562,2,41.649,1673,1,37.915,5710,2,0.74,1625,1,0.781,215,1,-0.658,26013,8,0.351,5004,2,4.751,33535,10,6.822,479,1,-0.151,18941,6,2.311,87,1,1656,367,240,1110
4071,E01004300,Tower Hamlets 022B,E09000030,Tower Hamlets,48.277,2678,1,0.591,991,1,0.24,4231,2,24.08,11866,4,0.796,6478,2,0.142,14673,5,46.641,709,1,43.228,3889,2,0.827,660,1,0.778,221,1,-0.573,24965,8,0.348,5230,2,8.852,32858,10,7.719,167,1,0.248,11240,4,2.006,356,1,1432,316,183,960
4072,E01004301,Tower Hamlets 025B,E09000030,Tower Hamlets,45.921,3192,1,0.578,1181,1,0.192,7301,3,23.592,12131,4,0.64,8086,3,0.44,10371,4,47.515,597,1,47.712,2707,1,0.964,125,1,0.987,6,1,-0.598,25277,8,0.345,5404,2,4.511,33552,10,8.069,111,1,0.29,10575,4,2.444,36,1,1370,256,127,1015
4073,E01004302,Tower Hamlets 025C,E09000030,Tower Hamlets,45.534,3257,1,0.557,1476,1,0.192,7303,3,25.12,11300,4,0.869,5771,2,0.777,6151,2,46.296,763,1,37.741,5784,2,0.731,1781,1,0.984,9,1,-0.718,26713,8,0.361,4406,2,3.976,33594,10,7.708,172,1,-0.161,19168,6,2.313,86,1,1712,458,89,1196
4074,E01004303,Tower Hamlets 025D,E09000030,Tower Hamlets,32.13,7318,3,0.431,4349,2,0.172,8969,3,18.077,15733,5,0.251,12818,4,0.498,9565,3,35.925,3513,2,30.68,8922,3,0.663,3104,1,0.437,3784,2,-0.36,21955,7,0.281,10401,4,7.72,33083,10,5.942,1093,1,-0.453,25347,8,2.031,333,1,2911,617,287,2071
4075,E01004304,Tower Hamlets 022C,E09000030,Tower Hamlets,44.952,3364,1,0.564,1374,1,0.216,5585,2,30.482,8735,3,0.259,12709,4,0.476,9869,3,47.292,619,1,38.353,5542,2,0.831,633,1,0.759,274,1,-1.012,29657,9,0.405,2302,1,3.342,33660,10,8.005,120,1,-0.17,19331,6,2.464,32,1,2224,455,276,1542
4076,E01004305,Tower Hamlets 022D,E09000030,Tower Hamlets,43.9,3619,2,0.597,910,1,0.203,6448,2,22.821,12566,4,0.294,12270,4,0.383,11139,4,43.467,1284,1,41.081,4567,2,0.875,371,1,0.567,1504,1,-0.276,20576,7,0.319,7207,3,6.651,33296,10,7.108,350,1,0.062,14527,5,2.204,169,1,1962,423,268,1299
4077,E01004306,Tower Hamlets 015A,E09000030,Tower Hamlets,36.117,5760,2,0.387,5779,2,0.19,7476,3,15.221,17960,6,0.546,9106,3,0.73,6662,2,38.717,2518,1,48.653,2506,1,0.57,5626,2,0.583,1307,1,-0.348,21744,7,0.251,13590,5,2.072,33743,10,6.372,739,1,0.378,9252,3,2.266,120,1,1926,302,204,1448
4078,E01004307,Tower Hamlets 015B,E09000030,Tower Hamlets,16.323,17906,6,0.125,22768,7,0.057,28898,9,2.195,31491,10,-0.387,22159,7,-0.409,22627,7,36.235,3377,2,56.706,1201,1,0.506,7809,3,0.418,4250,2,-1.021,29749,9,0.111,31563,10,2.447,33727,10,6.032,1024,1,0.648,5734,2,2.386,59,1,2600,139,154,2375
4079,E01004308,Tower Hamlets 015C,E09000030,Tower Hamlets,35.155,6123,2,0.423,4569,2,0.179,8404,3,15.813,17458,6,0.792,6526,2,0.555,8831,3,38.983,2435,1,34.117,7288,3,0.659,3179,1,0.624,923,1,-0.729,26819,8,0.281,10405,4,3.365,33657,10,6.398,715,1,-0.143,18761,6,1.901,495,1,1462,257,189,1057
4080,E01004309,Tower Hamlets 015D,E09000030,Tower Hamlets,47.715,2794,1,0.571,1279,1,0.221,5329,2,16.099,17238,6,1.316,2522,1,1.233,2480,1,35.237,3796,2,37.877,5728,2,0.965,120,1,0.852,119,1,-0.726,26786,8,0.284,10151,4,1.828,33747,10,5.867,1156,1,-0.126,18389,6,2.248,127,1,2882,461,248,2207
4081,E01004310,Tower Hamlets 015E,E09000030,Tower Hamlets,33.152,6873,3,0.391,5642,2,0.158,10492,4,11.459,21316,7,0.703,7392,3,0.742,6534,2,35.468,3676,2,43.119,3917,2,0.715,2061,1,0.989,4,1,-0.779,27410,9,0.238,15061,5,1.543,33752,10,5.903,1124,1,0.071,14346,5,2.486,26,1,2119,320,164,1691
4082,E01004311,Tower Hamlets 006A,E09000030,Tower Hamlets,32.818,7026,3,0.471,3226,1,0.18,8307,3,13.68,19250,6,0.408,10806,4,0.665,7425,3,24.992,10894,4,36.939,6103,2,0.792,952,1,0.601,1122,1,-0.607,25387,8,0.253,13339,4,3.056,33684,10,4.161,3459,2,-0.134,18562,6,2.179,196,1,1857,339,198,1354
4083,E01004312,Tower Hamlets 009A,E09000030,Tower Hamlets,41.617,4179,2,0.535,1824,1,0.212,5857,2,25.583,11063,4,0.521,9427,3,0.561,8747,3,33.074,4783,2,45.277,3282,1,0.763,1283,1,0.765,260,1,-0.269,20469,7,0.342,5605,2,3.43,33650,10,5.564,1492,1,0.406,8832,3,1.848,574,1,1567,331,219,1068
4084,E01004313,Tower Hamlets 009B,E09000030,Tower Hamlets,37.223,5371,2,0.505,2415,1,0.166,9593,3,19.383,14799,5,0.446,10327,4,0.766,6263,2,34.235,4227,2,41.577,4386,2,0.962,133,1,0.699,478,1,-0.388,22358,7,0.296,9066,3,2.589,33715,10,5.727,1303,1,0.099,13825,5,2.18,194,1,2156,398,144,1617
4085,E01004315,Tower Hamlets 006C,E09000030,Tower Hamlets,31.005,7807,3,0.343,7473,3,0.171,9128,3,11.58,21197,7,0.476,9946,3,0.963,4403,2,31.046,5952,2,39.954,4947,2,0.443,10214,4,0.72,388,1,-0.408,22671,7,0.215,18044,6,2.674,33708,10,5.216,1861,1,0.085,14096,5,2.033,328,1,1620,245,251,1205
4086,E01004316,Tower Hamlets 009C,E09000030,Tower Hamlets,41.511,4209,2,0.402,5263,2,0.16,10190,4,9.105,23601,7,0.734,7093,3,0.728,6678,2,48.751,440,1,81.457,17,1,0.687,2588,1,0.828,142,1,-0.95,29115,9,0.219,17484,6,2.202,33740,10,8.481,52,1,1.243,954,1,2.718,4,1,1058,170,74,828
4087,E01004319,Tower Hamlets 021A,E09000030,Tower Hamlets,35.858,5853,2,0.499,2558,1,0.157,10582,4,19.428,14765,5,0.284,12416,4,0.344,11683,4,43.836,1217,1,33.965,7367,3,0.833,620,1,0.804,168,1,-1.12,30457,10,0.328,6547,2,2.855,33696,10,7.198,316,1,-0.451,25317,8,2.427,41,1,2540,506,264,1819
4088,E01004321,Tower Hamlets 021C,E09000030,Tower Hamlets,37.217,5378,2,0.457,3591,2,0.169,9355,3,14.736,18352,6,0.14,14342,5,0.421,10653,4,49.057,404,1,46.416,3021,1,0.735,1709,1,0.707,437,1,-0.792,27562,9,0.274,11154,4,2.089,33742,10,8.691,39,1,0.389,9091,3,1.997,366,1,2291,427,247,1664
4089,E01004322,Tower Hamlets 017A,E09000030,Tower Hamlets,45.199,3313,1,0.666,339,1,0.146,11779,4,17.107,16448,5,1.203,3191,1,0.385,11122,4,33.642,4495,2,45.013,3360,1,0.994,57,1,0.983,11,1,-0.409,22674,7,0.275,10989,4,3.217,33666,10,5.64,1398,1,0.344,9761,3,1.96,403,1,1532,255,86,1212
4090,E01004323,Tower Hamlets 017B,E09000030,Tower Hamlets,35.934,5823,2,0.44,4068,2,0.154,10863,4,15.401,17812,6,0.515,9500,3,0.261,12905,4,46.041,806,1,46.012,3116,1,0.614,4336,2,0.738,328,1,-0.758,27172,9,0.279,10657,4,3.564,33634,10,7.641,185,1,0.538,7036,3,1.608,1067,1,1735,389,162,1215
4091,E01004324,Tower Hamlets 017C,E09000030,Tower Hamlets,42.919,3844,2,0.537,1802,1,0.207,6174,2,27.841,9952,3,0.68,7653,3,0.44,10367,4,46.943,676,1,27.103,10871,4,0.845,545,1,0.826,144,1,-0.876,28407,9,0.384,3160,1,5.097,33502,10,7.873,140,1,-0.142,18737,6,1.249,2154,1,1661,340,148,1188
4092,E01004326,Tower Hamlets 017D,E09000030,Tower Hamlets,36.528,5619,2,0.442,4009,2,0.146,11803,4,14.285,18734,6,0.335,11740,4,1.08,3444,2,43.005,1389,1,45.282,3280,1,0.721,1948,1,0.695,495,1,-1.127,30516,10,0.281,10467,4,3.049,33685,10,7.052,373,1,0.23,11528,4,2.269,118,1,1938,385,132,1443
31072,E01032764,Tower Hamlets 004E,E09000030,Tower Hamlets,26.645,10087,3,0.341,7604,3,0.137,12850,4,11.275,21504,7,0.605,8477,3,0.9,4992,2,23.179,12959,4,30.739,8896,3,0.649,3442,2,0.771,243,1,0.146,14329,5,0.136,29261,9,11.499,32259,10,3.708,4324,2,-0.472,25738,8,2.068,300,1,2611,356,120,2146
31073,E01032765,Tower Hamlets 004F,E09000030,Tower Hamlets,28.141,9230,3,0.358,6899,3,0.163,9948,3,20.404,14071,5,0.717,7265,3,0.294,12395,4,25.155,10702,4,25.838,11617,4,0.735,1697,1,0.624,927,1,0.253,12791,4,0.243,14548,5,9.612,32718,10,4.135,3516,2,-0.536,26982,8,1.676,912,1,1889,258,189,1519
31074,E01032767,Tower Hamlets 021F,E09000030,Tower Hamlets,10.284,24634,8,0.099,26131,8,0.037,32645,10,7.514,25337,8,-0.095,17807,6,-0.471,23523,7,22.063,14354,5,36.057,6447,2,0.738,1660,1,0.51,2326,1,-0.078,17595,6,0.073,33292,10,2.128,33741,10,3.582,4582,2,-0.148,18873,6,2.12,256,1,1746,43,61,1670
31075,E01032768,Tower Hamlets 025E,E09000030,Tower Hamlets,10.159,24781,8,0.111,24592,8,0.052,30100,9,0.801,33062,10,-0.362,21753,7,-0.108,18378,6,26.33,9587,3,29.658,9455,3,0.29,17320,6,0.327,7061,3,-1.352,31816,10,0.069,33374,10,9.062,32828,10,4.382,3120,1,-0.735,29945,9,2.2,171,1,1325,141,72,1147
31076,E01032769,Tower Hamlets 025F,E09000030,Tower Hamlets,23.07,12385,4,0.276,10786,4,0.09,20825,7,8.093,24670,8,0.329,11822,4,1.131,3111,1,26.937,9011,3,33.595,7546,3,0.677,2799,1,0.34,6598,2,-0.257,20297,7,0.15,27456,9,8.425,32944,10,4.498,2925,1,-0.456,25417,8,2.371,63,1,1368,183,125,1086
31077,E01032770,Tower Hamlets 032B,E09000030,Tower Hamlets,12.162,22407,7,0.182,17028,6,0.056,29146,9,8.962,23769,8,0.241,12954,4,-0.156,19096,6,25.956,9917,3,3.945,30674,10,0.461,9470,3,0.759,273,1,0.007,16336,5,0.112,31535,10,9.937,32636,10,4.293,3259,1,-0.85,31159,10,-0.384,22770,7,2186,222,110,1881
31078,E01032771,Tower Hamlets 033B,E09000030,Tower Hamlets,11.288,23423,7,0.152,19893,6,0.061,27767,9,4.465,28852,9,-0.306,20914,7,-1.476,32642,10,25.044,10831,4,34.363,7167,3,0.458,9634,3,0.596,1162,1,-0.559,24771,8,0.118,31019,10,9.341,32770,10,4.111,3548,2,0.187,12214,4,1.305,1949,1,2130,202,72,1864
31079,E01032772,Tower Hamlets 032C,E09000030,Tower Hamlets,20.302,14470,5,0.34,7620,3,0.099,18904,6,12.13,20669,7,0.478,9923,3,0.136,14763,5,22.955,13241,4,12.618,21210,7,0.73,1789,1,0.867,109,1,-0.071,17478,6,0.186,22288,7,9.683,32694,10,3.692,4354,2,-0.716,29734,9,0.589,6914,3,2866,457,119,2293
31080,E01032774,Tower Hamlets 032E,E09000030,Tower Hamlets,24.596,11368,4,0.35,7234,3,0.141,12399,4,15.107,18053,6,0.499,9655,3,0.061,15886,5,31.411,5740,2,11.31,22463,7,0.592,4954,2,0.763,264,1,-0.011,16600,5,0.215,18008,6,9.57,32727,10,5.222,1855,1,-0.479,25884,8,0.223,11783,4,1835,343,99,1412
31081,E01032775,Tower Hamlets 031F,E09000030,Tower Hamlets,7.068,28567,9,0.149,20217,6,0.046,31204,10,1.504,32293,10,-0.402,22384,7,-1.677,33177,10,22.315,14032,5,10.579,23178,7,0.246,19910,6,0.495,2575,1,-1.119,30446,10,0.088,32778,10,16.152,30728,10,3.395,4948,2,-0.569,27587,9,0.253,11300,4,1194,191,71,964
31082,E01032776,Tower Hamlets 034D,E09000030,Tower Hamlets,11.333,23371,7,0.155,19570,6,0.039,32408,10,7.972,24822,8,-0.563,24596,8,0.009,16637,5,26.307,9613,3,26.889,11010,4,0.371,13273,4,0.454,3352,1,-0.098,17903,6,0.113,31432,10,12.153,32071,10,4.324,3210,1,-1.054,32600,10,2.054,311,1,2211,250,49,1922
31083,E01032777,Tower Hamlets 035A,E09000030,Tower Hamlets,24.807,11237,4,0.354,7045,3,0.16,10177,4,8.19,24577,8,0.791,6544,2,-0.5,23919,8,22.247,14119,5,27.772,10491,4,0.536,6764,3,0.974,27,1,-0.349,21775,7,0.165,25382,8,13.217,31793,10,3.471,4801,2,-0.521,26680,8,1.831,608,1,1352,245,50,1072
31084,E01032779,Tower Hamlets 035C,E09000030,Tower Hamlets,15.759,18498,6,0.186,16734,5,0.075,24192,8,6.42,26599,8,0.169,13957,5,0.023,16440,5,30.98,6000,2,23.484,12973,4,0.428,10785,4,0.348,6284,2,-0.214,19661,6,0.087,32848,10,12.082,32096,10,5.12,1989,1,-0.542,27109,9,1.459,1442,1,1480,265,33,1193
31085,E01032780,Tower Hamlets 035D,E09000030,Tower Hamlets,19.011,15484,5,0.3,9536,3,0.072,25089,8,6.383,26645,8,-0.175,19006,6,-0.279,20826,7,27.815,8275,3,45.08,3345,1,0.849,520,1,0.34,6598,2,-0.248,20153,6,0.102,32157,10,10.244,32558,10,4.62,2714,1,0.38,9234,3,1.894,505,1,3014,427,125,2493
31086,E01032781,Tower Hamlets 033C,E09000030,Tower Hamlets,11.788,22837,7,0.157,19352,6,0.051,30198,9,11.352,21430,7,-0.234,19868,6,-0.513,24112,8,27.288,8683,3,21.926,13963,5,0.3,16775,5,0.297,8210,3,0.042,15820,5,0.158,26358,8,11.304,32311,10,4.525,2887,1,-0.349,23181,7,1.079,2938,1,1721,246,103,1412
31087,E01032782,Tower Hamlets 033D,E09000030,Tower Hamlets,21.991,13155,4,0.3,9526,3,0.094,19936,6,10.474,22244,7,0.67,7760,3,0.428,10547,4,20.521,16331,5,34.818,6967,3,0.89,310,1,0.531,1994,1,-0.077,17576,6,0.163,25664,8,10.312,32538,10,3.114,5512,2,-0.081,17452,6,1.858,556,1,2748,316,117,2367
31088,E01032783,Tower Hamlets 031G,E09000030,Tower Hamlets,24.849,11209,4,0.339,7680,3,0.13,13758,5,13.929,19031,6,0.282,12444,4,0.427,10554,4,31.926,5450,2,22.352,13678,5,0.668,2985,1,0.678,573,1,-0.13,18375,6,0.215,18070,6,14.369,31456,10,5.235,1842,1,-0.378,23802,8,1.154,2549,1,1310,166,150,1027
31089,E01032784,Tower Hamlets 004G,E09000030,Tower Hamlets,15.446,18839,6,0.238,13064,4,0.065,26883,8,12.465,20345,7,0.131,14494,5,0.266,12824,4,20.073,16925,6,22.279,13730,5,0.499,8046,3,0.615,1004,1,0.129,14558,5,0.161,25932,8,8.656,32893,10,3.035,5683,2,-0.538,27016,9,1.346,1819,1,1788,239,99,1458
31090,E01032785,Tower Hamlets 010E,E09000030,Tower Hamlets,18.721,15748,5,0.313,8917,3,0.1,18715,6,7.262,25629,8,0.082,15221,5,-0.675,26266,8,30.907,6054,2,20.071,15248,5,0.523,7194,3,0.704,455,1,-0.255,20257,7,0.133,29606,9,7.946,33045,10,5.159,1935,1,-0.63,28557,9,1.219,2299,1,2634,609,72,1953
31091,E01032786,Tower Hamlets 010F,E09000030,Tower Hamlets,35.5,5982,2,0.496,2598,1,0.179,8341,3,18.249,15617,5,0.317,11971,4,0.578,8540,3,36.31,3347,1,31.706,8459,3,0.766,1247,1,0.456,3320,1,-0.48,23678,8,0.292,9477,3,6.329,33346,10,6.021,1031,1,-0.094,17715,6,1.605,1072,1,1678,425,165,1134
31092,E01032787,Tower Hamlets 011F,E09000030,Tower Hamlets,41.245,4277,2,0.552,1566,1,0.195,7051,3,27.826,9961,3,0.283,12433,4,0.501,9530,3,37.455,2946,1,43.108,3920,2,0.907,261,1,0.706,442,1,-0.848,28150,9,0.383,3197,1,4.054,33586,10,6.211,882,1,0.267,10933,4,1.941,422,1,2542,527,246,1832
33650,E01035657,Tower Hamlets 001E,E09000030,Tower Hamlets,13.274,21154,7,0.126,22732,7,0.057,28832,9,7.828,24989,8,0.037,15880,5,0.817,5729,2,15.219,23858,8,31.45,8599,3,0.365,13541,5,0.085,23994,8,-0.034,16928,6,0.052,33645,10,12.112,32083,10,1.733,9131,3,-0.288,21877,7,1.877,529,1,1052,95,39,945
33651,E01035658,Tower Hamlets 001F,E09000030,Tower Hamlets,15.341,18944,6,0.208,15074,5,0.054,29517,9,16.834,16655,5,0.295,12255,4,0.512,9358,3,13.388,26275,8,24.877,12158,4,0.47,9125,3,0.871,101,1,0.663,7685,3,0.087,32851,10,13.754,31653,10,1.203,10934,4,-0.469,25669,8,1.509,1303,1,1520,271,14,1213
33652,E01035659,Tower Hamlets 001G,E09000030,Tower Hamlets,37.042,5444,2,0.492,2692,1,0.22,5360,2,25.344,11184,4,0.171,13933,5,0.896,5029,2,26.319,9603,3,31.968,8329,3,0.808,819,1,0.62,952,1,0.378,11103,4,0.278,10740,4,10.75,32442,10,4.354,3165,1,-0.14,18673,6,1.699,851,1,1596,278,219,1124
33653,E01035660,Tower Hamlets 002E,E09000030,Tower Hamlets,33.974,6552,2,0.411,4955,2,0.157,10598,4,11.653,21118,7,0.752,6912,3,1.197,2679,1,29.32,7061,3,40.261,4836,2,0.716,2052,1,0.777,230,1,-0.426,22926,7,0.217,17727,6,5.83,33413,10,4.939,2257,1,-0.01,15921,5,2.269,117,1,1500,254,119,1174
33654,E01035661,Tower Hamlets 002F,E09000030,Tower Hamlets,41.343,4254,2,0.499,2541,1,0.145,11862,4,24.39,11697,4,1.328,2466,1,0.846,5454,2,40.487,1988,1,33.848,7429,3,0.776,1109,1,0.756,285,1,-0.224,19817,6,0.329,6482,2,4.795,33531,10,6.654,577,1,-0.23,20636,7,2.026,342,1,1647,332,88,1203
33655,E01035662,Tower Hamlets 004H,E09000030,Tower Hamlets,15.626,18643,6,0.095,26680,8,0.045,31487,10,5.426,27749,9,0.252,12799,4,-0.545,24522,8,15.186,23893,8,78.338,39,1,0.529,6987,3,0.307,7830,3,-0.297,20910,7,0.039,33728,10,11.028,32383,10,1.753,9071,3,1.366,565,1,1.608,1059,1,1045,44,28,994
33656,E01035663,Tower Hamlets 004I,E09000030,Tower Hamlets,24.159,11652,4,0.334,7922,3,0.122,14930,5,12.524,20292,7,0.086,15148,5,0.173,14219,5,27.488,8526,3,40.73,4672,2,0.576,5433,2,0.258,9985,3,0.189,13691,5,0.151,27407,9,9.845,32660,10,4.571,2795,1,0.009,15550,5,2.282,109,1,1358,311,88,1002
33657,E01035664,Tower Hamlets 006E,E09000030,Tower Hamlets,31.656,7520,3,0.373,6324,2,0.169,9283,3,8.876,23855,8,0.53,9308,3,0.916,4835,2,26.44,9489,3,48.098,2619,1,0.588,5060,2,0.49,2636,1,-0.604,25353,8,0.197,20513,7,3.623,33630,10,4.449,3003,1,0.44,8354,3,2.043,322,1,2563,449,341,1858
